player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
2,15,8,7,5-6-6-8,0.5,0.5,42
2,15,8,7,5-6-6-9,0.5,0.5,1
2,15,8,7,5-6-7-7,0.20255474452554745,0.7974452554744526,274
2,15,8,7,5-6-7-8,0.19879518072289157,0.8012048192771084,83
2,15,8,7,5-7-7-7,0.5,0.5,83
2,15,8,7,6-6-6-6,0.09693877551020408,0.9030612244897959,98
2,15,8,7,6-6-6-7,0.04838709677419355,0.9516129032258065,124
2,15,8,7,6-6-6-8,0.5,0.5,13
2,15,8,7,6-6-7-7,0.33221476510067116,0.6677852348993288,149
2,17,9,8,1-1-1-1,0.0005381931556677307,0.9994618068443323,26942
2,17,9,8,1-1-1-2,4.974464415997877e-05,0.99995025535584,60308
2,17,9,8,1-1-1-3,0.0004364815430661789,0.9995635184569338,24056
2,17,9,8,1-1-1-4,0.0003901460260840486,0.999609853973916,8971
2,17,9,8,1-1-1-5,0.013802801255970118,0.9861971987440299,2327
2,17,9,8,1-1-1-6,0.021956087824351298,0.9780439121756487,501
2,17,9,8,1-1-1-7,0.03571428571428571,0.9642857142857143,70
2,17,9,8,1-1-1-8,0.2,0.8,5
2,17,9,8,1-1-1-9,0.5,0.5,1
2,17,9,8,1-1-2-2,1.4421482239944622e-05,0.99998557851776,69341
2,17,9,8,1-1-2-3,6.52608985700612e-05,0.9999347391014299,68954
2,17,9,8,1-1-2-4,1.8999126040202152e-05,0.9999810008739598,26317
2,17,9,8,1-1-2-5,6.858710562414266e-05,0.9999314128943758,7290
2,17,9,8,1-1-2-6,0.00033025099075297226,0.999669749009247,1514
2,17,9,8,1-1-2-7,0.013636363636363636,0.9863636363636363,220
2,17,9,8,1-1-2-8,0.5,0.5,8
2,17,9,8,1-1-2-9,0.5,0.5,1
2,17,9,8,1-1-3-3,1.788013159776856e-05,0.9999821198684022,27964
2,17,9,8,1-1-3-4,0.00011663621165584542,0.9998833637883442,25721
2,17,9,8,1-1-3-5,6.793478260869565e-05,0.9999320652173913,7360
2,17,9,8,1-1-3-6,0.0003367003367003367,0.9996632996632997,1485
2,17,9,8,1-1-3-7,0.04439252336448598,0.955607476635514,214
